[Yb]c1nc2sccc2n1[Lu]
OC(C=C[Yb])CC=C[Lu]
[Yb]C1c2ccccc2CC1([Lu])[Ta]
OC(CN[Yb])C(O)([Lu])[Ta]
CC(C)C(O)C(O)([Lu])C[Yb]
CC(C)CCNC(=O)C(C)S[Yb]
CC(C)NN(C)S(=O)(=O)[Yb]
O=C1CC([Lu])CC2=C1C([Yb])OC2
CC(C)(C)OC(=O)N([Yb])CCN
NC(=O)C=C([Lu])SCC(=O)[Yb]
O=C(NC[Ta])OC(C[Lu])CC[Yb]
[Yb]C1=NN([Lu])C([Ta])NC1
[Yb]c1nnc([Lu])c2cn([Ta])nc12
O=C1NC([Yb])Cn2nncc21
[Yb]c1nssc1=NCCC[Lu]
NCC([Lu])OC[Yb]
O=C(CCC[Lu])N[Yb]
[Yb]c1nnc2c(n1)CCN([Lu])C2
CCOCC(C[Yb])OC
CCOCCCNC(=O)C([Yb])[Lu]
[Yb]c1cc2c(cc1[Lu])N=CCC2
CN(CC[Lu])CCC([Yb])[Ta]
NC(=O)N(C[Yb])CC(F)(F)F
[Yb]C1CN2CCSCC2=NO1
O=c1oc([Ta])cc([Lu])c1[Yb]
O=C(CNC(=O)N[Yb])N[Lu]
O=C1C=CN([Lu])C(=O)CC1[Yb]
C=C(C)COC(=S)C[Yb]
COCC(C)NC(=O)C(C)O[Yb]
S=c1oc2ccccc2n1[Yb]
NCC(NC(=O)[Yb])C(=O)[Lu]
CN(CC(O)CO[Yb])C(=O)C[Lu]
CC(=O)N([Lu])O[Yb]
O=C(CC[Lu])NC(=S)N[Yb]
[Yb]N1CCCn2nnnc2C1[Lu]
CC(CO)NC(=O)N(C)C[Yb]
O=C([Ta])NNC([Yb])C[Lu]
O=C1C=CC([Yb])([Lu])CO1
O=C1OC([Lu])=NC1[Yb]
[Yb]c1ccc([Lu])o1
CC(C[Yb])C(NC(=O)[Lu])C(=O)O
[Yb]c1nsc2c1CCC2
O=c1onc2c(c1[Yb])CN([Lu])C2
CC(C)(C)ON=CC=C[Yb]
O=C([Yb])C(Br)[Lu]
O=C(CCCS[Yb])N[Lu]
O=C1CSc2nc([Yb])cn2N1[Lu]
[Yb]C12CCC([Lu])(CC1)CC2
O=C(NC(C[Yb])C(=O)O)C([Lu])[Ta]
CC([Yb])C(=O)N(C)C(C)[Lu]
O=CC(CO)NC(=O)[Yb]
O=c1c2cccnc2ccn1[Yb]
O=C1C=C2C=CC(=O)N2C([Yb])C1
[Yb]c1csc2c1CCN([Lu])C2
[Yb]C1([Lu])OC2(CCN([Ta])CC2)O1
O=C1C=C([Yb])c2sc([Lu])cc21
CC(C)(C)NC(=O)CO[Yb]
[Yb]n1c([Lu])nc2c1C1CCC2C1
CC(C)CN(C[Yb])NC(N)=O
ON=C1C([Yb])=Nc2ccccc21
CC(=O)N([Yb])C(=O)C[Lu]
CN=C(CCC[Yb])NS(=O)(=O)[Lu]
[Yb]c1ccc2c([Lu])ncn2c1
CCC(CNC(=O)[Yb])OC(N)=O
[Yb]OC([Ta])CCC[Lu]
CN(C)C([Yb])C(N)C(=O)O
C[N+]([O-])(CCl)CC[Yb]
CCC([Lu])NC(=O)CSC[Yb]
CCC(C)C(C(N)=O)C(=O)N[Yb]
[Yb]c1cc2[nH]c([Lu])c([Ta])n2n1
CCC([Yb])C(C)N(O)C(N)=O
[Yb]c1ccc([Lu])c2c1CC([Ta])=N2
O=c1c2sccc2nc([Yb])n1[Lu]
CNCCN(C)CCC[Yb]
[Yb]C1CSc2ccc([Lu])cc2C1
[Yb]C1([Lu])CC([Ta])O1
[Yb]c1nnc2n1C([Lu])CC2
O=C1CCc2c1ncc([Yb])c2[Lu]
O=C1CN=C([Yb])C([Ta])N1[Lu]
O=C(O)CC([Lu])([Ta])COC(=O)[Yb]
O=C(CC(NC[Yb])C(=O)[Lu])N[Ta]
O=C([Yb])ON=C1CCN([Lu])CC1
[Yb]n1nnc2cc([Lu])ccc21
O=C1C=C([Yb])SC2CCN12
[Yb]N1CCC2(CC1)OCO2
O=c1cc([Ta])c([Lu])nn1[Yb]
CC([Ta])N([Lu])C[Yb]
[Yb]C1OC2COC([Lu])C2O1
[Yb]C1=NSCC([Lu])N1[Ta]
O=c1sc2ccnc([Lu])c2n1[Yb]
[Yb]c1cc2c([Lu])ccnc2[nH]1
O=C1C(=O)N([Lu])C([Ta])N1[Yb]
CC(C)N(N[Yb])C(=O)[Lu]
O=C1CCC(=NN[Lu])N1[Yb]
O=C(C=C[Yb])NC(=S)[Lu]
CCC(O)(CC)N=C(N)[Yb]
O=C([Lu])CC([Ta])NC(=O)[Yb]
CC(C)COCC(O)C[Yb]
OC([Lu])CN=C([Ta])C[Yb]
FC(F)(F)CC([Yb])C(F)(F)Cl
[Yb]N1CCc2nc[nH]c2C1
[Yb]C1CC([Lu])N1
COCC([Lu])NC([Yb])C(C)C
CC(C)C(=O)NCCN(C)C[Yb]
CC(=O)N(C[Yb])CCN(C)C
O=c1oc2[nH]nc([Yb])c2cc1[Lu]
CCC(CC[Yb])NS(=O)(=O)[Lu]
CC(C)(C)OC(=O)NS(=O)(=O)[Yb]
O=S(=O)([Ta])NCC([Lu])N[Yb]
O=C([Yb])C([Lu])N([Ta])CC(F)(F)F
CC(C)CC(CO)N(C[Yb])C[Lu]
O=S(=O)([Yb])N(O)CCN[Lu]
[Yb]c1cnc2scc([Lu])n12
[Yb]C1([Lu])CC2CC(C2)N1[Ta]
O=C(O)C(CS(=O)(=O)[Lu])O[Yb]
[Yb]c1nn([Lu])c2c1COC2
O=C1CC([Lu])N([Yb])C(=O)N1
CC(C)NCCN(C)C(=O)[Yb]
NC(CO)CO[Yb]
O=C1NN=C([Ta])CC1([Yb])[Lu]
[Yb]C1C2N=NN([Lu])C([Ta])C12
CC(C[Yb])NCC(=O)N[Lu]
CC(C)([Yb])OC(=O)N[Lu]
[Yb]C1CCOCCN1
[Yb]C1CCC([Lu])ON1[Ta]
O=S(=O)(C[Lu])NCC[Yb]
CC(C)OCC(O)CN(C)[Yb]
[Yb]C1CC=C([Lu])N1[Ta]
[Yb]n1ncc2c1CCN([Lu])C2[Ta]
CC(C)(C)NC([Yb])C(F)(F)F
OCCOCC([Yb])CO
CCOCC[Yb]
[Yb][NH+][Lu]
O=C1CCc2c1[nH]c([Yb])c2[Lu]
N=C(N[Yb])SCC[Lu]
[Yb]c1sc2c(c1[Lu])CCCC2
NC([Lu])(CC([Yb])CO)C(=O)O
[Yb]C1Cn2cccc2S1
[Yb]c1n[nH]c2c1CCN([Lu])C2
O=S(=O)([Lu])NCCO[Yb]
N=C1C=C([Yb])C=C([Lu])C1
COC(C[Yb])C(=O)[Lu]
O=C([Lu])OC(C[Yb])C(=O)[O-]
[Yb]C1([Lu])CCC2CCC2([Ta])C1
O=C1Cc2sc([Yb])nc2CN1[Lu]
CC(=O)NC([Yb])C(=O)N[Lu]
CCSC(=S)NCC[Yb]
NC(=O)N=C(N)N[Yb]
O=c1c2cc([Yb])sc2on1[Lu]
O=C([Lu])CC=C([Yb])C(=O)O
O=S(=O)(CCOC[Lu])O[Yb]
O=C1c2ccccc2OCC1[Yb]
CC(C)(CBr)C(=O)NC([Yb])[Lu]
S=C1Nc2ccccc2CN1[Yb]
O=c1c2[nH]nc([Yb])c2ccn1[Lu]
O=C([Yb])CCSCC(=O)NC[Lu]
O=C1OCc2cc([Yb])nc([Lu])c21
O=S1(=O)CCC([Yb])=C1[Lu]
OCCCCC(O)[Yb]
[Yb]C12CC([Lu])(O1)c1ccccc12
[Yb]N1CC2([Lu])CC1C2
[Yb]c1cc([Lu])nc2cc[nH]c12
CC(C)(S)CS[Yb]
[Yb]C1CN=NN1
[Yb]c1cc([Lu])c2noc([Ta])c2n1
CC(C)N(C[Yb])C(C)CO[Lu]
O=S1(=O)CC2NN=C([Yb])SC2C1
O=C1NC([Lu])C([Ta])C(=O)C1[Yb]
[Yb]C1CCC2CC1OCCN2[Lu]
O=C1CCC2CC([Yb])([Lu])N12
NS(=O)(=O)CCN([Lu])C(=O)[Yb]
[Yb]c1cc([Lu])c2nc([Ta])[nH]c2n1
CN([Yb])NC(=O)OC[Lu]
O=C(O)CCNS(=O)(=O)C[Yb]
CN(C)C(=O)CC([Lu])C(=O)N[Yb]
[Yb][N+]1([Lu])CCO1
O=C1NCC([Yb])=C([Lu])N1[Ta]
[Yb]N1CCc2c([Lu])cnn21
[Yb]n1nc2ccc([Lu])cc2n1
NCC(C=C[Yb])=NS(=O)(=O)[Lu]
SC([Ta])(C[Lu])COC[Yb]
[Yb]n1cc([Lu])c2c1CCCO2
CNC(=O)C([Yb])C([Lu])C(C)=O
O=C1CNC([Ta])C([Lu])=C1[Yb]
[Yb]CC=C1Oc2ccccc2S1
[Yb]C12CC3CC(C1)CC([Lu])(C3)C2
CCCN([Lu])CC(O)[Yb]
O=C1CCc2c([Yb])sc([Lu])c2N1
[Yb]c1ncn2c1CN([Lu])CCC2
CC(C=CC(=O)O)=CC(O)([Yb])[Lu]
[Yb]c1c([Lu])sc2c1CC([Ta])NC2
O=C([Yb])SNS(=O)(=O)[Lu]
O=C(C[Lu])NNS(=O)(=O)C[Yb]
O=C([Yb])OC(C(=O)O)C(=O)N[Lu]
[Yb]c1c([Lu])ccc2cc([Ta])oc12
[Yb]C1([Lu])CN=C2SCCN2C1
[Yb]N1CC2NCCOC2C1
[Yb]n1cnc2c([Lu])ccc([Ta])c21
CCN(CC(=O)N[Yb])C(=O)CCl
O=C1CCC2C(CCN2[Yb])N1[Lu]
[Yb]c1n[nH]c2ccnc([Lu])c12
[Yb]C1=C([Lu])NCC1
CC(CS(=O)(=O)[Yb])S(C)(=O)=O
O=C1CCC=C([Yb])C1
OC([Lu])CCONC[Yb]
COC(=O)CN(C)C(=O)N[Yb]
CCC(O[Yb])C(=O)NC
O=C1CN([Yb])c2ncnc([Lu])c21
O=C([Yb])CS(=O)(=O)[Lu]
[Yb]c1ccc([Lu])c2ccsc12
CN(CCS[Yb])C(=O)N[Lu]
COC(=O)C([Yb])C(=O)OC
CC(C)N([Lu])CC([Ta])C[Yb]
COC(=C[Yb])C(=O)C(=O)N[Lu]
[Yb]c1cc([Lu])nc2n[nH]c([Ta])c12
[Yb]c1cccc2c1OC([Lu])N2
NC([Lu])CC(=O)[Yb]
[Yb]C1=NCCc2cc([Lu])cnc21
CC(=O)NC=C[Yb]
[Yb]C1OCCCO1
COC(=O)CN([Lu])CC[Yb]
NC(C(=O)O)C([Lu])CC(=O)N[Yb]
NC(C[Yb])C(=O)OC[Lu]
O=C1C=C([Lu])CCC1[Yb]
O=C1C([Yb])NCNC1[Lu]
CC(CCC(C)C(=O)O)NC[Yb]
S=C1CCC([Yb])=NN1[Lu]
O=C([Lu])NC(OC[Yb])C(Cl)Cl
[Yb]N1C=C([Lu])C(=C[Ta])S1
[Yb]c1c[nH]c2c1NC([Lu])([Ta])CC2
[Yb]C1Cc2cc([Lu])oc2N1[Ta]
CC(=O)O[Yb]
COC(C[Yb])CC(C)=O
[Yb]c1cc2n(n1)C([Lu])N=C([Ta])C2
O=c1cc([Yb])c2oc([Lu])cc2[nH]1
[Yb]c1ncnc2cccnc12
CC(C)N(CCO)C(=S)N[Yb]
ON=N[Yb]
C[S+](=O)(F)[Yb]
CN(CCC=C([Yb])[Lu])CC(N)=O
O=[N+]([O-])C=C1C=CN([Yb])C=C1[Lu]
[Yb]C(C=CC[Lu])=CC[Ta]
[Yb]N1CCN2CC([Lu])([Ta])CC12
O=C([Ta])C(CC[Yb])NS(=O)(=O)[Lu]
COCC(C)NC(=O)CC([Yb])[Lu]
CC(NCC[Lu])C(=O)NCC[Yb]
O=C(N[Yb])NCCS[Lu]
O=C1C2CN(CCN2[Lu])N1[Yb]
O=C([Ta])NC(=C[Lu])C(=O)[Yb]
[Yb]c1nc2n(n1)CCCOC2
O=S(=O)(N[Yb])C(F)F
CN(CC=C[Yb])S(=O)(=O)[Lu]
CN(C)CC(C)(C)C(=O)O[Yb]
O=C(CCCl)NS(=O)(=O)NC[Yb]
CC(CC[Yb])N(C)CCO[Lu]
CC([Lu])=C1SC(=O)N([Yb])C1=O
CN(C)CCOCCC[Yb]
[Yb]c1nc([Lu])c2nccn2c1[Ta]
CCC([Lu])C(CC)C[Yb]
O=C(O)C([Lu])CS[Yb]
CC(OC(=O)[Yb])C(C)(C)C
O=C1CCc2sccc2N1[Yb]
O=C([Ta])CSC([Yb])[Lu]
[Yb]C1Oc2cccc([Lu])c2O1
CCC(O[Yb])C(=O)OC(C)C
O=C1c2cc([Lu])sc2C(=O)N1[Yb]
OCCN=c1[nH]c([Yb])ncc1[Lu]
[Yb]c1cnc2c(ccn2[Lu])c1
[Yb]N1C=CC([Lu])C=C1[Ta]
O=C1C([Yb])C2CCC(C2)N1[Lu]
O=C([Lu])NOC(=O)[Yb]
CCC(C[Yb])CNC
O=C1NC(=O)C2([Yb])OC1CC2[Lu]
O=C(N[Yb])C([Lu])OCCCO
[Yb]C1([Lu])Cc2cc3c(cc2-3)N1[Ta]
NC(=O)OC(C[Yb])C(N)=O
O=C([Ta])NCC(=O)NC([Yb])C[Lu]
O=C1OC([Yb])C2COCN12
O=C1CC(=O)C2C([Yb])C2N1
O=c1cc([Lu])n([Ta])n1[Yb]
CC(C)=C(C)O[Yb]
[Yb]c1cn([Lu])c2c([Ta])ncnc12
[Yb]C1([Lu])N=C([Ta])N2CCCN=C21
O=c1snc([Lu])n1[Yb]
CC(N)CC([Yb])=C[Lu]
CC(C)OC(=O)C(C)C(C)O[Yb]
O=C([Yb])OCS(=O)(=O)[Lu]
O=C1NC([Yb])=NC([Lu])([Ta])N1
COC([Lu])(CN(C)C[Yb])C(=O)O
CCC(O)CNC(=O)N[Yb]
[Yb]c1ccc2c(c1[Lu])C([Ta])OC2
O=c1cnn([Yb])c(=O)n1[Lu]
OC([Ta])(CN[Lu])CO[Yb]
CC([Yb])C(=O)N(C)C
O=C(COC(=O)CC[Lu])NC[Yb]
O=C(CNC(=O)C[Lu])N=N[Yb]
COC(=O)N(C[Yb])C([Lu])[Ta]
O=C(O)C=CS[Yb]
O=C1CC([Yb])=C([Lu])C(=O)N1[Ta]
[Yb]n1c([Lu])c([Ta])c2cccnc21
NCO[Yb]
CC([Yb])NC(=O)C(C)C
CC(C)C(N=N[Yb])C(N)=O
CNC(=O)C(C[Yb])C[Lu]
O=C(CCC[Lu])OC[Yb]
O=C1CCC([Yb])([Lu])OC1[Ta]
O=C([Yb])OCC(=O)OC([Lu])CCl
[Yb]c1cc2ccsc2c([Lu])n1
CN([Yb])C(C)(C)O
CSCCC(O)([Lu])C[Yb]
CN(C)C=C(NC(=O)[Yb])C(=O)[Lu]
O=C([Lu])C=C1NC(=O)N([Yb])C1=O
[Yb]c1ncnnn1
COCN(C)CC[Yb]
[Yb]c1c[nH]c2cc([Lu])nn12
CC(C)N(CC([Yb])[Ta])C(C)[Lu]
O=S(=O)([Yb])CC([Ta])NC(=S)N[Lu]
[Yb]c1cc2c(cc1[Lu])NC([Ta])C2
O=S1(=O)CCN1[Yb]
[Yb]c1cc2c([Lu])[nH]nc2cc1[Ta]
CCNC(=O)C([Lu])NC[Yb]
[Yb]C1CSc2ncccc21
[Yb]C([Ta])=NN[Lu]
O=c1c([Yb])cnc2scc([Lu])n12
O=c1[nH]cnc2c1nc([Lu])n2[Yb]
[Yb]C1([Lu])CC2OCCN21
CCN([Yb])C(=O)C(F)(F)F
[Yb]c1nccc2occ([Lu])c12
CC(C)CN(CCO)C(=S)N[Yb]
C=C([Lu])COC(=O)C[Yb]
O=c1nc2c([Yb])c[nH]n2c(=O)[nH]1
[Yb]C1=COC([Lu])([Ta])O1
[Yb]C1NNC([Lu])C1[Ta]
CC(C)CN=C1SCC(=O)N1[Yb]
[Yb]c1cc([Lu])c2ccn([Ta])c2c1
CC(C)CNC(=O)C=CCO[Yb]
[Yb]c1ccnc2c1cc([Lu])n2[Ta]
[Yb]c1csc2c1NCCN2[Lu]
[Yb]N1CCOCC([Lu])CC1
[Yb]C1([Lu])Cc2ccccc2C1[Ta]
CC(=O)OC(COC[Yb])C(C)C
CC(C)C([Lu])(CN)C[Yb]
COC(CO)C(C)=C[Yb]
[Yb]C1=Nc2cc([Lu])ccc2SC1
O=C([Yb])CCN([Lu])[Ta]
CC(C)NC(=O)CSC[Yb]
CC(C)(C)C(=O)NC([Yb])C(=O)O
CC(=O)OC([Lu])C[Yb]
[Yb]c1ccc2c(c1)C([Lu])OC2
CC(C(N)=O)N([Lu])S(=O)(=O)[Yb]
NC(=S)NN=CC[Yb]
CC([Lu])OC(=O)N([Yb])C(C)C
N=C1C(=C[Lu])SC(=O)N1[Yb]
NC(=O)COC([Lu])C(=O)NC[Yb]
[Yb]c1nccc2ccc([Lu])cc12
O=C1C([Yb])N=C([Lu])NC1[Ta]
O=C(CCC(=O)N([Ta])C[Yb])N[Lu]
C[S+](CC[Yb])C(N)=O
C=COC(=O)[Yb]
NCC(=O)NOC[Yb]
[Yb]C1SC([Lu])N1[Ta]
CC([Lu])C(=O)NN(C)S(=O)(=O)[Yb]
[Yb]C1=NN=C([Lu])N=C([Ta])S1
O=C(CCNC[Lu])NS(=O)(=O)[Yb]
O=C1NC([Yb])([Lu])CN1[Ta]
O=C1OC([Yb])([Lu])C=CC1[Ta]
[Yb]C1([Lu])SCCCN1[Ta]
[Yb]N1CC2COCC2CN([Lu])C1
CN(C)CCN(C)S(=O)(=O)[Yb]
C=C(N[Yb])C(=O)OC(C)(C)C
CC(O)([Lu])CC[Yb]
CC(C)C(=O)N([Yb])CCN(C)C
CC(C)(C)SCCO[Yb]
O=C(CNS(=O)(=O)C[Lu])N[Yb]
CCC=CC(=O)[Yb]
CC(CS(=O)(=O)[Yb])O[Lu]
CN(C)CC=C(Cl)[Yb]
CC(=CCN[Yb])CO[Lu]
[Yb]c1nccc2ncc([Lu])nc12
[Yb]c1cc2c(cc1[Lu])OCC2
CC([Yb])N([Ta])C(=O)[Lu]
[Yb]C1=CC2=CC=C(C=C1[Lu])C2[Ta]
[Yb]n1nc([Lu])c2nnc([Ta])nc21
CC(Cl)(Cl)C(=C[Lu])NC(=O)[Yb]
[Yb]C=C1CC1
C=C([Yb])NC(C)C
O=C([Lu])OC(C(=O)O)C(O)[Yb]
CCCS(=O)(=O)CCC(C)[Yb]
CS(=O)(=O)CO[Yb]
O=C1C=CC([Ta])=CC1([Yb])[Lu]
[Yb]c1nn[nH]c1[Lu]
[Yb]n1[nH]c([Lu])c1[Ta]
NCC(=O)NN[Yb]
CC(OC(=O)[Yb])C(=O)O
[Yb]c1cnc2c(c1)N([Lu])CCC2
[Yb]C1=CC([Lu])([Ta])Nc2ccnn21
ClCC([Yb])CCl
NOC(C[Yb])(C[Lu])C(=O)O
NC(C(=O)O)C([Yb])[Lu]
O=C1NC(=O)C([Lu])CC=C1[Yb]
[Yb]C1COc2nc([Lu])ccc2O1
[Yb]C1COCN1[Lu]
[Yb]C=C1CCNC1[Lu]
O=C1NC2CNC([Yb])C(=O)C2N1
CC(C)OC([Lu])C(=O)NN[Yb]
O=C(C=C[Lu])N[Yb]
CC(=O)C=C([Yb])C(=O)[Lu]
CC(C)CN(O)C(C)[Yb]
CCNC(C)(CO)CC(=O)N[Yb]
O=C(NC[Yb])N(C[Lu])CCCO
NC(=S)SC[Yb]
[Yb]C1=Cc2ccncc2OC1[Lu]
FCCCOC(C[Lu])CC[Yb]
[Yb]N1c2ccccc2C2([Lu])CC12
O=c1ccc(=O)n([Yb])cc1[Lu]
OCC([Lu])=C[Yb]
O=C1NOC([Yb])([Lu])N1
CC(F)(F)[Yb]
O=C1N=C([Yb])c2ccccc21
O=C(CS[Lu])N([Ta])C[Yb]
[Yb]c1onc2c1CCC([Lu])([Ta])C2
CC(C)CCN([Lu])C(=O)CC[Yb]
CN(C)CCCN(C)CCO[Yb]
COC(=O)NCC(=O)N[Yb]
[Yb]C1C(=COC[Lu])CCC1[Ta]
ClC(Cl)CN([Yb])C[Lu]
[Yb]c1ncc2nc([Lu])ccc2n1
ClCCS[Yb]
[Yb]c1cc2n(n1)CCNCC2
O=C(CSCC(=O)OC[Lu])N[Yb]
CC(N(C)C(=O)[Yb])S(=O)(=O)[Lu]
CS(=O)(=O)C([Lu])CC(=O)[Yb]
CNCC(C[Yb])N(C)C(=O)[Lu]
CN(C)C=C1N=C([Lu])OC1[Yb]
O=C1NN([Yb])C1[Lu]
[Yb]c1cc2c(cn1)CCC([Lu])O2
OCN(C[Yb])C[Lu]
O=C1C([Lu])=Nc2c([Yb])cccc21
[Yb]C1c2ncccc2CCN1[Lu]
[Yb]C1CCOC(=C[Lu])C1
O=[S+]([O-])([Lu])[N-][Yb]
[Yb]c1cc2c([nH]1)C([Lu])N([Ta])CC2
[Yb]c1ccc2n1CCS2
O=C1CN([Yb])CC2CC([Lu])CN12
[Yb]n1nc([Lu])c2cc([Ta])cnc21
[Yb]N1CC=C2C([Lu])CC2C1
CC(NCCCl)C(=O)N[Yb]
OC([Ta])CNC([Yb])[Lu]
CC(C(=O)O)C(N)O[Yb]
CCC(=O)C([Lu])(C[Yb])C(C)(C)C
O=C1CN([Lu])C(=O)C([Yb])N1
CC([Yb])C(C)C(=O)N[Lu]
CCC([Lu])N=c1ccccn1[Yb]
[Yb]c1cn([Lu])c2cccnc12
[Yb]N1CC=Nc2ncc([Lu])cc21
NC(=O)OC(=O)[Yb]
CC([Yb])NC(=O)NC[Lu]
CC(C)(C)NC(=O)OCC[Yb]
NC(=N[Yb])NC(=O)OC[Lu]
CC(=O)NCSC(C)C(=O)N[Yb]
NC(=O)NC([Yb])CC(F)(F)F
[Yb]c1nc2ccnnc2[nH]1
[Yb]CCOCCC([Lu])[Ta]
N=C([Yb])N([Lu])C(N)=O
[Yb]N1CCc2cc([Lu])nc([Ta])c21
[Yb]C1Cc2c([Lu])cc([Ta])cc2O1
[Yb]N1Cc2cc([Lu])c([Ta])nc2C1
[Yb]C1Cc2ccsc2CN1[Lu]
[Yb]C1([Lu])CCSC1=N[Ta]
O=C1C([Yb])S(=O)(=O)CN1[Lu]
O=C([Yb])COC(=O)CNC[Lu]
O=C(CC[Yb])NC(=O)N[Lu]
[Yb]C1CCOc2ccccc2O1
NCCCN(C[Yb])C(=O)[Lu]
CC(CN(C)C)C(C[Yb])C(=O)O
CC(C)(C)OCC(=O)NC[Yb]
CC(N)CCC(=O)[Yb]
CCOCCNN([Lu])C(=O)[Yb]
CC(C)([Yb])NCC(O)CCl
O=c1nc([Yb])[nH]c2c([Lu])cnn12
NS(=O)(=O)CCN(C[Yb])C[Lu]
CCN(N)[Yb]
[Yb]C1COC2(CCNCC2)O1
CSC(=S)NCC[Yb]
O=C1C=COC(=O)C1=C[Yb]
SC([Lu])=NC[Yb]
[Yb]N1C([Lu])=C([Ta])C2=NCCN21
[Yb]c1cc2c(s1)CN([Lu])C2[Ta]
O=C([Lu])CCC(=O)NS(=O)(=O)[Yb]
S=c1nc([Lu])nc([Yb])[nH]1
O=C1CC2N1C([Lu])C([Yb])S2(=O)=O
[Yb]C1CCC2C1OCC2([Lu])[Ta]
[Yb]C1([Lu])CCc2ccccc21
[Yb]c1cc2cc([Lu])ccc2s1
[Yb]C12CCN([Lu])CC1OC2
NC(CCC([Lu])=C[Yb])C(=O)[O-]
NC(=O)C=CC(=O)N[Yb]
[Yb]C1Cn2nncc2CN1[Lu]
CC([Yb])=NN(C)C
O=C(CC([Yb])CCO)N[Lu]
CCOCCNC(=O)[Yb]
O=c1c([Lu])nnc2n1CCN2[Yb]
[Yb]C1([Lu])C=C2CN([Ta])CC2=NO1
[Yb]C1=NC2CCSCC2N1
CCCNC(=O)OCC[Yb]
CN(C[Yb])CCO[Lu]
CCOC(=O)C(C)ON=C[Yb]
O=C([Lu])NC(=O)CN[Yb]
CC(C)C([Lu])NC(=O)N(C)C[Yb]
N=C1N([Lu])CCC([Yb])N1[Ta]
[Yb]C1=NCCc2c1c[nH]c2[Lu]
[Yb]c1noc2c([Lu])c([Ta])[nH]c12
O=C([Lu])C=NO[Yb]
[Yb]C1=Nc2cc([Lu])ccc2NC1
[Yb]N1CC2CCN([Lu])CC2C1
[Yb]c1ccc2c(ncn2[Lu])n1
[Yb]n1cc2cc([Lu])cnc2n1
CC(CCOC([Yb])[Lu])OC(=O)[Ta]
CC([Yb])CCNC(=O)NC[Lu]
O=C([Yb])NCCOCCBr
CN([Yb])C(=O)CO
[Yb]C1=NCc2cc([Lu])ccc2C1
CCSC(=O)C(C)=C[Yb]
COC=C(N)C(=O)[Yb]
O=c1oc2ccc([Lu])cc2n1[Yb]
O=C(NC[Yb])C(=O)NCC([Lu])[Ta]
[Yb]C1CCc2cc([Lu])c([Ta])cc21
CC(C)C([Lu])NCCC[Yb]
O=C1C([Yb])([Lu])CC2CC1([Ta])C2
O=C1C([Lu])Sc2sccc2N1[Yb]
[Yb]C1CNc2ccncc2C1
O=C(C=C[Yb])CCS(=O)(=O)[Lu]
CC(C[Yb])N=C1CCN([Lu])CC1
FC(F)(F)COC([Yb])[Lu]
CCC(=C[Yb])C(=O)O
CC(C)C(C[Lu])CC(=O)N[Yb]
CC(O)(O)[Yb]
CC(C(=O)NC[Ta])N([Yb])C(=O)[Lu]
[Yb]C1=CC=CCn2cc([Lu])nc21
OC([Ta])C(=C[Yb])SC[Lu]
[N-]CC[Yb]
C=CCC([Yb])NC
[Yb]CN([Ta])CCO[Lu]
[Yb]N1N=NC([Lu])CC1[Ta]
[Yb]c1nncc2cn([Lu])cc12
